month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,pending_listing_count,average_listing_price,total_listing_count
202104,35620,"new york-newark-jersey city, ny-nj-pa",1,628500,55719,67,25492,27204,1307993.449,82923
202104,31080,"los angeles-long beach-anaheim, ca",2,1114000,12800,48.5,9556,15466,2669149.507,28266
202104,16980,"chicago-naperville-elgin, il-in-wi",3,356248,16037,34,13916,23859,568707.9332,39896
202104,19100,"dallas-fort worth-arlington, tx",4,380000,5595,28,7648,14401,634253.2763,19996
202104,26420,"houston-the woodlands-sugar land, tx",5,354900,12086,40,8992,16856,554681.937,28942
202104,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,339700,7572,39,7136,12860,558006.5941,20432
202104,47900,"washington-arlington-alexandria, dc-va-md-wv",7,505879.5,6960,28.5,9400,12754,827899.9647,19714
202104,33100,"miami-fort lauderdale-west palm beach, fl",8,417950,24804,72,10192,25047,1114712.39,49851
202104,12060,"atlanta-sandy springs-roswell, ga",9,392377.5,13773,31,14604,29664,558792.9465,43437
202104,14460,"boston-cambridge-newton, ma-nh",10,699450,5036,22,5868,2025,1200681.829,7061
202104,41860,"san francisco-oakland-hayward, ca",11,1061500,3553,26.5,4568,5254,1950496.207,8807
202104,19820,"detroit-warren-dearborn, mi",12,284900,4634,28,4840,2051,426605.1006,6685
202104,38060,"phoenix-mesa-scottsdale, az",13,457000,4022,23.5,6048,11310,900432.612,15332
202104,42660,"seattle-tacoma-bellevue, wa",14,679000,2748,21.5,4912,7293,984500.9619,10041
202104,33460,"minneapolis-st. paul-bloomington, mn-wi",15,365950,4709,30,4992,7946,510753.1785,12655
202104,40140,"riverside-san bernardino-ontario, ca",16,512445,4258,28,5232,9207,767686.8796,13465
202104,45300,"tampa-st. petersburg-clearwater, fl",17,327450,3519,32,4124,10798,562014.2532,14317
202104,41740,"san diego-carlsbad, ca",18,852450.5,3220,48,3204,6005,1781283.275,9225
202104,41180,"st. louis, mo-il",19,265950,3678,61,3212,6120,365772.3373,9798
202104,19740,"denver-aurora-lakewood, co",20,575000,2229,14.5,3972,6151,903595.1892,8380
202104,12580,"baltimore-columbia-towson, md",21,336200,3121,29,3852,6518,468415.7522,9639
202104,38300,"pittsburgh, pa",22,272000,2705,43.5,2200,4467,422959.7996,7172
202104,38900,"portland-vancouver-hillsboro, or-wa",23,539500,2589,28,3400,5875,715706.7615,8464
202104,16740,"charlotte-concord-gastonia, nc-sc",24,403350,2168,32,2208,3843,590122.3021,6011
202104,36740,"orlando-kissimmee-sanford, fl",25,332000,3450,42.5,3028,7363,512058.2606,10813
202104,17460,"cleveland-elyria, oh",26,233995,1853,42.5,1708,4132,359441.3392,5985
202104,41700,"san antonio-new braunfels, tx",27,324380.5,2793,37,2780,7768,487794.1301,10561
202104,17140,"cincinnati, oh-ky-in",28,351941.5,1698,38,1488,4820,481810.8684,6518
202104,40900,"sacramento--roseville--arden-arcade, ca",29,592000,1832,20.5,2872,3585,979407.6294,5417
202104,28140,"kansas city, mo-ks",30,367600,1985,39.5,2204,6971,477611.2142,8956
202104,18140,"columbus, oh",31,314750,1398,15.5,2116,2682,405290.6487,4080
202104,26900,"indianapolis-carmel-anderson, in",32,287400,1642,38.5,1964,4339,379968.6502,5981
202104,29820,"las vegas-henderson-paradise, nv",33,378797.5,4195,28.5,3284,208,684278.7998,4403
202104,12420,"austin-round rock, tx",34,514500,1768,18,3420,6621,794057.6958,8389
202104,34980,"nashville-davidson--murfreesboro--franklin, tn",35,417495,1942,19.5,2368,2527,725522.7989,4469
202104,41940,"san jose-sunnyvale-santa clara, ca",36,1237500,1217,22,1732,2028,1929373.499,3245
202104,47260,"virginia beach-norfolk-newport news, va-nc",37,322500,3552,25,2976,904,427434.2243,4456
202104,33340,"milwaukee-waukesha-west allis, wi",38,332400,958,36,1212,2066,442328.9802,3024
202104,39300,"providence-warwick, ri-ma",39,419950,1344,28,1636,2626,844300.8602,3970
202104,27260,"jacksonville, fl",40,349000,2337,34.5,2364,7379,566935.2066,9716
202104,36420,"oklahoma city, ok",41,312500,1389,39.5,1168,3640,466367.1804,5029
202104,31140,"louisville/jefferson county, ky-in",42,272400,1315,29.5,1456,2557,392666.6887,3872
202104,32820,"memphis, tn-ms-ar",43,240000,1018,40,1028,2955,334883.3388,3973
202104,35380,"new orleans-metairie, la",44,345440,2057,51,1108,2735,500597.7986,4792
202104,40060,"richmond, va",45,374500,1541,37.5,1756,4731,453759.8033,6272
202104,39580,"raleigh, nc",46,411512.5,1197,25.5,1516,1977,554154.5702,3174
202104,15380,"buffalo-cheektowaga-niagara falls, ny",47,254450,738,31,912,2003,332607.3355,2741
202104,25540,"hartford-west hartford-east hartford, ct",48,309900,2795,32,1580,2,404152.9172,2797
202104,13820,"birmingham-hoover, al",49,277450,1622,40.5,1392,3433,385646.1152,5055
202104,40380,"rochester, ny",50,264450,816,19,1136,127,327226.0819,943
202103,35620,"new york-newark-jersey city, ny-nj-pa",1,628500,53371,88,21784,25961,1306627.392,79332
202103,31080,"los angeles-long beach-anaheim, ca",2,1198500,12743,52,9508,15378,2833380.826,28121
202103,16980,"chicago-naperville-elgin, il-in-wi",3,365000,15357,38.5,11900,21356,588417.0176,36713
202103,19100,"dallas-fort worth-arlington, tx",4,383450,5596,33.5,6512,12848,662947.7068,18444
202103,26420,"houston-the woodlands-sugar land, tx",5,354500,12449,48.5,8096,15561,554572.4128,28010
202103,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,334950,7173,43.5,6136,11320,560041.9557,18493
202103,47900,"washington-arlington-alexandria, dc-va-md-wv",7,510000,6264,26,7804,10953,865420.8797,17217
202103,33100,"miami-fort lauderdale-west palm beach, fl",8,402500,27056,80,10712,24205,1106174.961,51261
202103,12060,"atlanta-sandy springs-roswell, ga",9,394500,13558,31,12836,28187,577049.6377,41745
202103,14460,"boston-cambridge-newton, ma-nh",10,694950,4347,26.5,5128,1713,1190321.104,6060
202103,41860,"san francisco-oakland-hayward, ca",11,1049500,3474,22.5,4328,4966,2021474.351,8440
202103,19820,"detroit-warren-dearborn, mi",12,285950,4530,40,4108,1817,431502.459,6347
202103,38060,"phoenix-mesa-scottsdale, az",13,477150,3742,21,5552,11333,992616.5611,15075
202103,42660,"seattle-tacoma-bellevue, wa",14,680335.5,2462,13.5,4080,6536,999037.5991,8998
202103,33460,"minneapolis-st. paul-bloomington, mn-wi",15,385450,4389,29,4320,6644,536722.6017,11033
202103,40140,"riverside-san bernardino-ontario, ca",16,506731.5,3989,23,4832,9328,803980.7836,13317
202103,45300,"tampa-st. petersburg-clearwater, fl",17,325000,3775,32.5,3816,10890,576453.0891,14665
202103,41740,"san diego-carlsbad, ca",18,884500,3149,60.5,2860,5859,1861241.714,9008
202103,41180,"st. louis, mo-il",19,269900,3639,72,2592,5290,368664.4687,8929
202103,19740,"denver-aurora-lakewood, co",20,557500,2252,15,3952,5799,873823.8088,8051
202103,12580,"baltimore-columbia-towson, md",21,334950,2784,30,3192,5881,484453.5751,8665
202103,38300,"pittsburgh, pa",22,267450,2593,63,1852,4062,429378.9756,6655
202103,38900,"portland-vancouver-hillsboro, or-wa",23,542430,2362,26,2904,5455,736292.9309,7817
202103,16740,"charlotte-concord-gastonia, nc-sc",24,414102.5,2221,36,2216,3813,616515.4858,6034
202103,36740,"orlando-kissimmee-sanford, fl",25,329450,3831,48,2840,7413,515401.9503,11244
202103,17460,"cleveland-elyria, oh",26,230859,1884,47.5,1588,3649,375070.993,5533
202103,41700,"san antonio-new braunfels, tx",27,327794.5,3086,43,2620,7099,487888.4093,10185
202103,17140,"cincinnati, oh-ky-in",28,347904,1764,48,1552,4311,471132.6858,6075
202103,40900,"sacramento--roseville--arden-arcade, ca",29,587467.5,1599,16,2496,3365,1049969.675,4964
202103,28140,"kansas city, mo-ks",30,389900,1891,56.5,1816,6045,515480.7039,7936
202103,18140,"columbus, oh",31,329250,1245,28.5,1756,2338,417832.7201,3583
202103,26900,"indianapolis-carmel-anderson, in",32,299950,1624,46.5,1540,3780,392883.8879,5404
202103,29820,"las vegas-henderson-paradise, nv",33,369950,4263,33.5,3060,197,672656.6601,4460
202103,12420,"austin-round rock, tx",34,520000,1559,17.5,2864,6156,823614.7781,7715
202103,34980,"nashville-davidson--murfreesboro--franklin, tn",35,414950,2077,26,2184,2393,727577.0005,4470
202103,41940,"san jose-sunnyvale-santa clara, ca",36,1243000,1135,15,1676,1881,1964597.579,3016
202103,47260,"virginia beach-norfolk-newport news, va-nc",37,322450,3371,31,2744,846,440133.9788,4217
202103,33340,"milwaukee-waukesha-west allis, wi",38,339900,926,45.5,932,1721,449757.758,2647
202103,39300,"providence-warwick, ri-ma",39,434000,1345,31.5,1520,2292,874796.2503,3637
202103,27260,"jacksonville, fl",40,353950,2327,36.5,1960,7076,576854.8223,9403
202103,36420,"oklahoma city, ok",41,318950,1538,42,1148,3152,470576.0271,4690
202103,31140,"louisville/jefferson county, ky-in",42,277400,1244,39,1236,2295,395052.6835,3539
202103,32820,"memphis, tn-ms-ar",43,240000,1036,49,852,2649,346580.5859,3685
202103,35380,"new orleans-metairie, la",44,343950,2156,52.5,1064,2475,495170.1149,4631
